BAIRRO;RPA;MICROREGIAO;DIST_MARCO_ZERO;HECTARES;HABITANTES;NUM_HOMENS;POR_HOMENS;NUM_MULHERES;POR_MULHERES;0_4ANOS;0_4ANOS%;5_14ANOS;5_14ANOS%;15_17ANOS;15_17ANOS%;18_24ANOS;18_24ANOS%;25_59ANOS;25_59ANOS%;60_ANOS;60_ANOS%;BRANCA;PRETA;PARDA;AMARELA;INDIGENA;ALFABETIZADOS;CRESCIMENTO_ANUAL;DENSIDADE;DOMICILIOS;MEDIA_MORADORES;MULHERES_RESPONSAVEIS;RENDA
DOIS UNIDOS;2;2.3;8.7;312.0;32805;15662;47.6;17243;52.4;2438;7.41;5765;17.52;1937;5.89;4250;12.92;15712;47.75;2803;8.51;29.23;10.38;59.57;0.65;0.17;90.0;1.91;105.51;9374;3.5;45.06;937.92
ENCRUZILHADA;2;2.1;3.97;102.0;11940;5196;43.52;6744;56.48;603;5.05;1189;9.96;401;3.36;1194;10.0;6424;53.8;2129;17.83;64.05;4.01;30.94;0.76;0.24;98.0;2.48;117.27;4008;2.9;45.41;5692.93
FUNDAO;2;2.2;5.95;62.0;8132;3707;45.59;4425;54.41;507;6.23;1267;15.58;391;4.81;896;11.02;4149;51.02;922;11.34;33.41;11.23;54.45;0.76;0.15;93.0;1.62;130.21;2495;3.3;48.46;1610.32
HIPODROMO;2;2.1;3.91;30.0;2658;1162;43.72;1496;56.0;112;4.21;283;10.65;116;4.36;262;9.86;1367;51.43;518;19.49;65.84;5.08;28.59;0.41;0.08;97.0;0.12;88.13;808;3.3;47.15;4803.91
LINHA DO TIRO;2;2.3;7.05;82.0;14867;7005;47.12;7862;52.88;1131;7.61;2596;17.46;818;5.5;1852;12.46;7194;48.39;1276;8.58;28.32;11.49;58.88;1.12;0.19;91.0;0.64;181.2;4201;3.5;50.04;1028.96
PEIXINHOS;2;2.1;4.88;34.0;4998;2443;48.88;2555;51.12;428;8.56;954;19.09;287;5.74;651;13.03;2343;46.88;335;6.7;23.69;17.33;58.44;0.54;0.0;81.0;1.72;148.43;1383;3.6;53.83;760.72
PONTO DE PARADA;2;2.1;4.43;20.0;1554;693;44.59;861;55.41;70;4.5;185;11.9;70;4.5;499;12.81;806;51.87;224;14.42;44.21;4.31;51.1;0.32;0.6;95.0;-0.74;79.53;500;3.1;62.4;3248.99
PORTO DA MADEIRA;2;2.2;6.52;48.0;7713;3579;46.4;4134;53.6;459;5.95;1118;14.5;374;4.85;917;11.89;3953;51.25;892;11.56;38.78;9.17;51.35;0.65;0.05;95.0;0.09;161.35;2334;3.3;52.84;1977.89
ROSARINHO;2;2.1;4.46;25.0;4077;1817;44.57;2260;55.43;254;6.23;494;12.12;166;4.07;438;10.74;2194;53.81;531;13.03;63.5;3.09;33.14;0.12;0.15;95.0;1.58;160.87;1329;3.1;39.97;6547.75
TORREAO;2;2.1;2.93;16.0;1083;475;43.86;608;56.14;73;6.75;117;10.8;40;3.7;113;10.43;531;49.03;209;19.3;57.81;4.8;37.3;0.09;0.0;98.0;1.87;66.29;368;2.9;39.13;6007.59
