Código;Posto;Mês/Ano;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Acumulado
265;Recife (Alto da Brasileira);out/2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.0;65.0;0.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115113
196;Recife (Codecipe / Santo Amaro);out/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);out/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);out/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);out/2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;34.0;0.0;30.0;27.0;6.0;0.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136579
480;Recife - PCD;out/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);nov/2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;0.0;10.0;0.0;0.0;0.0;0.0;5.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;115113
196;Recife (Codecipe / Santo Amaro);nov/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);nov/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);nov/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);nov/2015;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;202.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;136579
480;Recife - PCD;nov/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);dez/2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;64.0;26.0;0.0;0.0;0.0;55.0;34.0;98.0;14.0;6.0;15.0;94.0;4.0;0.0;115113
196;Recife (Codecipe / Santo Amaro);dez/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);dez/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);dez/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);dez/2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;74.0;0.0;40.0;58.0;10.0;2.0;18.0;47.0;26.0;490.0;13.0;42.0;30.0;50.0;0.0;0.0;136579
480;Recife - PCD;dez/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);jan/2016;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;28.0;67.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;107.0;61.0;27.0;69.0;38.0;0.0;0.0;60.0;0.0;0.0;0.0;328.0;23.0;115113
196;Recife (Codecipe / Santo Amaro);jan/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);jan/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);jan/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);jan/2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;257.0;30.0;10.0;0.0;0.0;10.0;26.0;36.0;60.0;148.0;248.0;32.0;138.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;147.0;0.0;136579
480;Recife - PCD;jan/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);fev/2016;17.0;23.0;0.0;0.0;0.0;0.0;0.0;37.0;5.0;13.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;115113
196;Recife (Codecipe / Santo Amaro);fev/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);fev/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);fev/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);fev/2016;62.0;16.0;0.0;0.0;0.0;0.0;0.0;24.0;46.0;20.0;14.0;2.0;0.0;0.0;84.0;28.0;0.0;270.0;46.0;18.0;42.0;21.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;;;136579
480;Recife - PCD;fev/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);mar/2016;0.0;0.0;3.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.0;100.0;103.0;0.0;;;0.0;0.0;35.0;70.0;94.0;0.0;1.0;;167.0;312.0;0.0;115113
196;Recife (Codecipe / Santo Amaro);mar/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);mar/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);mar/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);mar/2016;0.0;0.0;84.0;458.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;198.0;80.0;520.0;0.0;40.0;0.0;0.0;130.0;114.0;0.0;132.0;22.0;0.0;7.0;0.0;652.0;0.0;136579
480;Recife - PCD;mar/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);abr/2016;31.0;37.0;0.0;0.0;0.0;54.0;0.0;28.0;0.0;0.0;45.0;155.0;0.0;355.0;0.0;1152.0;1129.0;61.0;0.0;17.0;17.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;10.0;;115113
196;Recife (Codecipe / Santo Amaro);abr/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);abr/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);abr/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);abr/2016;130.0;10.0;0.0;38.0;0.0;85.0;6.0;0.0;8.0;0.0;352.0;65.0;24.0;110.0;0.0;1018.0;580.0;172.0;30.0;0.0;0.0;14.0;0.0;0.0;62.0;114.0;0.0;34.0;10.0;54.0;;136579
480;Recife - PCD;abr/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);mai/2016;55.0;484.0;25.0;;15.0;49.0;0.0;8.0;373.0;1124.0;77.0;63.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;279.0;161.0;6.0;0.0;3.0;823.0;16.0;115113
196;Recife (Codecipe / Santo Amaro);mai/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);mai/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);mai/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);mai/2016;29.0;606.0;48.0;10.0;12.0;234.0;9.0;8.0;541.0;1021.0;140.0;8.0;0.0;0.0;0.0;8.0;138.0;6.0;8.0;0.0;0.0;0.0;0.0;102.0;398.0;84.0;12.0;0.0;38.0;1198.0;130.0;136579
480;Recife - PCD;mai/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);jun/2016;7.0;0.0;43.0;433.0;145.0;19.0;6.0;0.0;0.0;0.0;0.0;0.0;20.0;154.0;0.0;0.0;0.0;0.0;0.0;26.0;16.0;173.0;108.0;21.0;0.0;0.0;49.0;188.0;0.0;0.0;;115113
196;Recife (Codecipe / Santo Amaro);jun/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);jun/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);jun/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);jun/2016;;0.0;104.0;360.0;148.0;46.0;18.0;2.0;0.0;0.0;0.0;0.0;20.0;110.0;25.0;0.0;0.0;0.0;16.0;18.0;4.0;166.0;76.0;112.0;0.0;24.0;68.0;142.0;2.0;6.0;;136579
480;Recife - PCD;jun/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);jul/2016;33.0;0.0;92.0;5.0;8.0;18.0;37.0;0.0;0.0;0.0;8.0;7.0;219.0;243.0;29.0;19.0;25.0;0.0;0.0;159.0;15.0;0.0;20.0;6.0;40.0;1.0;5.0;23.0;42.0;57.0;42.0;115113
196;Recife (Codecipe / Santo Amaro);jul/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);jul/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);jul/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);jul/2016;44.0;4.0;41.0;54.0;34.0;26.0;82.0;0.0;0.0;6.0;0.0;40.0;250.0;96.0;19.0;14.0;22.0;0.0;0.0;179.0;4.0;0.0;0.0;32.0;3.0;0.0;21.0;20.0;26.0;58.0;36.0;136579
480;Recife - PCD;jul/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);ago/2016;0.0;15.0;9.0;20.0;4.0;37.0;30.0;0.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;0.0;84.0;0.0;72.0;0.0;73.0;0.0;0.0;0.0;67.0;33.0;0.0;113.0;115113
196;Recife (Codecipe / Santo Amaro);ago/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);ago/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);ago/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);ago/2016;0.0;10.0;24.0;5.0;6.0;14.0;20.0;0.0;0.0;17.0;13.0;0.0;0.0;0.0;10.0;44.0;0.0;0.0;12.0;31.0;4.0;0.0;8.0;138.0;0.0;0.0;4.0;78.0;40.0;3.0;102.0;136579
480;Recife - PCD;ago/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);set/2016;29.0;0.0;65.0;0.0;20.0;0.0;10.0;0.0;0.0;23.0;182.0;0.0;82.0;0.0;4.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;115113
196;Recife (Codecipe / Santo Amaro);set/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);set/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);set/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);set/2016;0.0;70.0;;;68.0;18.0;4.0;0.0;0.0;90.0;216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;136579
480;Recife - PCD;set/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);out/2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;115113
196;Recife (Codecipe / Santo Amaro);out/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);out/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);out/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);out/2016;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;32.0;2.0;28.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;8.0;0.0;0.0;10.0;4.0;136579
480;Recife - PCD;out/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
