;date;description;link;name;raw_description;type;type_code
91;01/05/2015;O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.;http://www.calendario.com.br/feriados-nacionais/dia-do-trabalho.php;Dia do Trabalho;;Feriado Nacional;1
92;10/05/2015;O Dia das Mães teve a sua origem no princípio do século XX, quando uma jovem norte-americana, Anna Jarvis, perdeu sua mãe e entrou em completa depressão. Preocupadas com aquele sofrimento, algumas amigas tiveram a ideia de criar uma data para comemorar o dia das mães.;;Dia das Mães;;Dia Convencional;9
93;04/06/2015;Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.;http://www.calendario.com.br/feriados-nacionais/corpus-christi.php;Corpus Christi;;Facultativo;4
94;12/06/2015;O Dia dos Namorados ou Dia de São Valentim é uma data comemorativa na qual se celebra a união amorosa entre casais sendo comum a troca de cartões e presentes.;;Dia dos Namorados;;Dia Convencional;9
95;24/06/2015;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;;Dia de São João;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;Feriado Estadual;2
96;16/07/2015;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Dia de Nossa Senhora do Carmo (Padroeira do Recife);conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
97;09/08/2015;Em 1909, nos Estados Unidos, Sonora Luise resolveu criar um dia dedicado aos pais, motivada pela admiração que sentia pelo seu pai, William Jackson Smart. O interesse pela data difundiu-se da cidade de Spokane para todo o Estado de Washington e para o Mundo.;;Dia dos Pais;;Dia Convencional;9
98;07/09/2015;"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".";http://www.calendario.com.br/feriados-nacionais/independencia-do-brasil.php;Independência do Brasil;;Feriado Nacional;1
99;12/10/2015;Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.;http://www.calendario.com.br/feriados-nacionais/nossa-senhora-aparecida.php;Nossa Senhora Aparecida;;Feriado Nacional;1
100;15/10/2015;"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I,  baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""";http://www.calendario.com.br/docs/dia-do-professor.html;Dia do Professor;;Facultativo;4
101;17/10/2015;Comemoração do dia do comércio. Em algumas cidades do Brasil o comércio poderá fechar, dependendo de acordos entre os sindicatos e patrões.;;Dia do Comércio;;Dia Convencional;9
102;28/10/2015;O dia do servidor público é feriado apenas para funcionários públicos.;;Dia do Servidor Público;;Facultativo;4
103;02/11/2015;O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-finados.php;Dia de Finados;;Feriado Nacional;1
104;15/11/2015;A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.;http://www.calendario.com.br/feriados-nacionais/proclamacao-da-republica.php;Proclamação da República;;Feriado Nacional;1
105;20/11/2015;Apesar de ser comemorado em todo o território nacional, conforme indica a Lei Federal nº 12.519, de 10 de novembro de 2011, o Dia Nacional de Zumbi e da Consciência Negra não é feriado. No entanto, alguns municípios decretam feriado municipal neste dia.;http://www.calendario.com.br/feriados-nacionais/consciencia-negra.php;Consciência Negra;;Dia Convencional;9
106;08/12/2015;conforme a Lei nº 9.777 de junho de 1967;http://www.calendario.com.br/docs/pe/recife/l9777.html;Dia de Nossa Senhora da Conceição;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
107;25/12/2015;O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.;http://www.calendario.com.br/feriados-nacionais/natal.php;Natal;;Feriado Nacional;1
108;01/01/2016;O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR;http://www.calendario.com.br/feriados-nacionais/ano-novo.php;Ano Novo;;Feriado Nacional;1
109;08/02/2016;Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
110;09/02/2016;Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
111;10/02/2016;Ponto Facultativo até às 14h.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
112;06/03/2016;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;http://www.calendario.com.br/docs/pe/data_magna_pernambuco.html;Revolução Pernambucana;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;Feriado Estadual;2
113;25/03/2016;"Também chamada de ""Sexta Feira da Paixão"" é a sexta-feira que ocorre antes do domingo de Páscoa, e é o dia que os cristãos lembram da crucificação de Cristo.";http://www.calendario.com.br/feriados-nacionais/sexta-feira-santa.php;Sexta-Feira Santa;;Feriado Nacional;1
114;25/03/2016;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Sexta-feira Santa;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
115;27/03/2016;A Páscoa é um evento religioso cristão, normalmente considerado pelas igrejas ligadas a esta corrente religiosa como a maior e a mais importante festa da Cristandade. Na Páscoa os cristãos celebram a Ressurreição de Jesus Cristo depois da sua morte.;;Páscoa;;Dia Convencional;9
116;01/04/2016;Dia da mentira, dia das petas, dia dos tolos ou dia dos bobos.;;Dia da Mentira;;Dia Convencional;9
117;21/04/2016;Joaquim José da Silva Xavier, o Tiradentes foi um dentista, tropeiro, minerador, comerciante, militar e ativista político. É reconhecido como mártir da Inconfidência Mineira e herói nacional. O dia de sua execução, 21 de abril, é feriado nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-tiradentes.php;Dia de Tiradentes;;Feriado Nacional;1
118;01/05/2016;O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.;http://www.calendario.com.br/feriados-nacionais/dia-do-trabalho.php;Dia do Trabalho;;Feriado Nacional;1
119;08/05/2016;O Dia das Mães teve a sua origem no princípio do século XX, quando uma jovem norte-americana, Anna Jarvis, perdeu sua mãe e entrou em completa depressão. Preocupadas com aquele sofrimento, algumas amigas tiveram a ideia de criar uma data para comemorar o dia das mães.;;Dia das Mães;;Dia Convencional;9
120;26/05/2016;Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.;http://www.calendario.com.br/feriados-nacionais/corpus-christi.php;Corpus Christi;;Facultativo;4
121;12/06/2016;O Dia dos Namorados ou Dia de São Valentim é uma data comemorativa na qual se celebra a união amorosa entre casais sendo comum a troca de cartões e presentes.;;Dia dos Namorados;;Dia Convencional;9
122;24/06/2016;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;;Dia de São João;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;Feriado Estadual;2
123;16/07/2016;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Dia de Nossa Senhora do Carmo (Padroeira do Recife);conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
124;14/08/2016;Em 1909, nos Estados Unidos, Sonora Luise resolveu criar um dia dedicado aos pais, motivada pela admiração que sentia pelo seu pai, William Jackson Smart. O interesse pela data difundiu-se da cidade de Spokane para todo o Estado de Washington e para o Mundo.;;Dia dos Pais;;Dia Convencional;9
125;07/09/2016;"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".";http://www.calendario.com.br/feriados-nacionais/independencia-do-brasil.php;Independência do Brasil;;Feriado Nacional;1
126;12/10/2016;Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.;http://www.calendario.com.br/feriados-nacionais/nossa-senhora-aparecida.php;Nossa Senhora Aparecida;;Feriado Nacional;1
127;15/10/2016;"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I,  baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""";http://www.calendario.com.br/docs/dia-do-professor.html;Dia do Professor;;Facultativo;4
128;17/10/2016;Comemoração do dia do comércio. Em algumas cidades do Brasil o comércio poderá fechar, dependendo de acordos entre os sindicatos e patrões.;;Dia do Comércio;;Dia Convencional;9
129;28/10/2016;O dia do servidor público é feriado apenas para funcionários públicos.;;Dia do Servidor Público;;Facultativo;4
130;02/11/2016;O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-finados.php;Dia de Finados;;Feriado Nacional;1
