SERVICO_DESCRICAO,count,corr
LIMPEZA DE PRACAS,919,-0.8946993591116398
"REPOS.TAMPA POCO, GALER E PRE-MOLDADOS",10450,-0.9012098596184582
RECUP. EM PAV DE CONCRETO,90,-0.9110319179666008
"LIMP. DE GALERIAS,VALETAS,SARJETAS",15263,-0.9273518601941382
PODA DE ARVORES,13840,-0.9306940047635397
VISTORIA DE ARVORES,9965,-0.9320964720476356
CAPINACAO DE PRACAS AREAS VERD,398,-0.9614575637299397
CONSERTO DE CALCADAS E MUROS,8,-0.9976764473983624
CONECTA RECIFE,3,-1.0
ANALISE DE PROJETO,3,-1.0
