SERVICO_DESCRICAO,mean,std
RECUP. DE ESCADARIA,243.8469387755102,209.32155267246776
RECUP. DE CANALETA DE ESCADARIA,179.22448979591837,162.96552106019774
RECUP.EM MUROS DE ARRIMO,179.10526315789474,207.44099421732278
CORTE DE RAIZES DE ARVORES,162.3,149.77895206856874
REBAIXAMENTO COPAS DE ARVORES,158.38850574712643,184.62915489965667
