,coef,SE,t,p-value
Intercept,51.94443448251849,4.453253754850126,11.664377855392765,1.3053355772117253e-30
QUEDA_DE_ARVORE,4.849650237772566,0.5585105022475587,8.683185398048195,7.02837394381089e-18
ERRADICACAO_DE_ARVORES,5.282285820750498,0.7538583748441136,7.007000249672618,3.16022500425387e-12
LIMP_DE_GALERIAS_VALETAS_SARJETAS,1.7389518892294118,0.3151128240715993,5.518505615735559,3.7906881267906074e-08
LIMPEZA_DE_CANALETAS,4.686608330748439,0.91044005532259,5.147629767989354,2.854642605508333e-07
MANUT_EM_LAMPADA_APAGADA,-0.5701137798731077,0.13158474976657883,-4.332673663813211,1.5344603799783285e-05
VISTORIA_DE_ARVORES,1.419977475224425,0.4123710225231075,3.443446308463286,0.0005843153922128202
MANUTENCAO_EM_LAMPADA_APAGADA,-0.2993665448936119,0.1020509773852712,-2.933500026789737,0.0033837797193617546
TUMULO_DE_FAMILIA,123.46928768980007,43.33408447144198,2.8492418657458605,0.004420154254352568
RECUP_DE_PAV_PARALELEPIPEDO,5.5972800008694765,1.9838834470716462,2.821375423607401,0.004821621064168439
INSTALACAO_DE_CONTENEDORES_DE_LIXO,-13.21795658237439,4.9571682939927175,-2.666432890404872,0.007718146491933944
LIMPEZA_DE_PROPRIOS_MUNICIPAIS,-30.21805124096099,11.953300759636956,-2.528008944859743,0.011535554323026227
ACENDER_CIRCUITO,1.4060943770745213,0.5637847645793301,2.4940269149055196,0.012697898945317915
INSTALACAO_PROVISORIA_DE_PONTO_DE_AC,-4.265288765446,1.725751351604218,-2.4715546428406894,0.013522437729655059
CAPINACAO_EM_VIA_NAO_PAVIMENTADA,-1.400846305138666,0.601174736609903,-2.3301815925236773,0.019880035616118865
APAGAR_LAMPADA,-1.101496869042088,0.4772208450339965,-2.3081491106358087,0.02107648374880363
REMOCAO_DE_AREIA_OU_BARRO_DE_ENXURRADA,13.346510430568488,5.845740919939773,2.2831169929279027,0.022511565296793937
LIMPEZA_DE_LUMINARIA,8.325651726404537,4.032667387317944,2.06455205122726,0.03907387841608497
LIMPEZA_DE_ESCADARIAS,-1.8749830133694727,0.9175974622031746,-2.0433611584622207,0.04112697892401068
LIMPEZA_DE_CANAL,2.6619352667552647,1.3522015660985447,1.968593539227768,0.04911605782407103
TAPA_BURACO_PARALELO_,22.01867026715995,11.368117201242859,1.9368792454701895,0.05287871887133586
RECUPERACAO_DE_PAVIMENTO_PARALELEPIPEDO,1.4467541073630115,0.7682207339203195,1.8832531373893768,0.05978832498971406
REG_DE_VARRICAO_OU_ESVAZIAR_PAPELEIRA,-1.254233197739731,0.6782314867290716,-1.8492700829750046,0.0645431600779009
COLETA_HOSPITALAR_IRREGULAR,36.14380572244483,19.63349148509,1.8409260395632145,0.06575721746736495
RECUP_DE_ESCADARIA,-2.323344125731312,1.2955485939163964,-1.7933284298568277,0.0730477721023532
RECUPEM_MUROS_DE_ARRIMO,10.829530785134484,6.0918134628246134,1.7777187123706042,0.07557815485015669
RECUP_EM_PAV_DE_CONCRETO,-11.136678382014944,6.318479780807236,-1.7625566225349454,0.07810406646021105
RETIRADA_DE_MATERIAIS___SERVICOS,-7.481231722027637,4.257844656064823,-1.7570466577195247,0.07903886037132242
LIMPEZA_DE_RUAS___EVENTOS,-5.214324662004337,3.163502304577834,-1.648275916998323,0.09942849878798656
SEPULTEM_COVA_ADULTO,30.825038916326335,19.15340088868402,1.6093767939947423,0.1076670445711115
REMOCAO_DE_ANIMAIS_MORTOS_DE_GRANDE_PORTE,-3.5530609541127403,2.2326050426776916,-1.5914417849076208,0.11164343770496747
REBAIXAMENTO_COPAS_DE_ARVORES,1.9103229938159862,1.2308474665533586,1.5520387746869295,0.12078635113771033
VELORIO_POPULAR,-33.600141392518694,21.980466126729297,-1.5286364355876565,0.12648793278675471
REMOCAO_DE_PODA_DO_CIDADAO,-0.9645211110442506,0.6561150849979995,-1.4700486745357964,0.14168119614913843
INSTPROV_ILUMINACAO_PROJETORES,-0.9112939688023663,0.6228446483416633,-1.463115997269472,0.1435681312279547
REMOCAO_DE_ANIMAIS_MORTOS_PEQUENOS,3.084379508344566,2.147059192871205,1.4365600718347722,0.15097491202906688
LIMPEZA_DE_PRACAS,-4.118714997958578,2.982666759475179,-1.3808833939877665,0.16744490346851418
PROJETO_DE_PAVIMENTACAO_E_DRENAGEM,-4.455608953601391,3.3080713281781287,-1.3468902304640609,0.17814425415113594
OPER_TAPA_BURACO_EM_ASFALTO,-0.22001198111322967,0.17028721377796652,-1.292005290544586,0.19648117485719938
VISTORIA_INTERVENÇÃO_INDEVIDA_EM_VIAS_PÚBLICAS,40.444237255754196,31.540680288863868,1.282288044688558,0.19986692282112617
SEPULTEM_COVA_INFANTIL,-75.5456086372625,59.51211361898391,-1.269415654112544,0.2044173881862357
RECOLOCACAO_DE_MEIO_FIO,-6.586687787324059,5.276218962175797,-1.2483727143514631,0.21201780064089373
CAPINACAO_DE_PRACAS_AREAS_VERD,-5.5687316859637495,4.572991817099935,-1.2177436367019971,0.22344253115927823
RECUPCALCADA_POR_ERRADICAO,-12.148484755580292,10.119467263487369,-1.2005063546589985,0.23006262173984082
RECUPDE_CANALETAS_DE_DRENAGEM,2.2194002232576198,1.914419635073294,1.1593070728052,0.24644772793805256
VELORIO_PRINCIPAL,-27.33504427981991,23.695949539724083,-1.1535745480043,0.24879086043876922
PLANTIO_DE_ARVORES_OU_ARBUSTO,-2.219397694591857,2.0318644166229682,-1.0922961573787369,0.27481387586063444
